id,name,price,description,speed,engine_type,build,weight,material,engine_l,hp,history,image_url
119,1954 Ferrari 250 Monza,"$2,565,861 AUD","The 1954 250 Monza is renowned for its racing success and distinctive design. It is a prized model among collectors and car enthusiasts, representing Ferrari’s rich motorsport heritage.",6.2s,V12,Spider,0.98 tonnes,Aluminum,3.0L,260hp,"The 1954 250 Monza was designed for racing, combining Ferrari’s engineering prowess with a focus on performance and speed. It featured a 3.0L V12 engine, which provided significant power and performance on the track. The car’s lightweight aluminum body contributed to its agility and handling, making it a formidable competitor in various racing events. The 250 Monza achieved considerable success in motorsport, helping to solidify Ferrari’s reputation as a leading manufacturer of racing cars. Its design was both functional and aesthetically pleasing, with an open-top spider body that emphasized its racing pedigree. Today, the 250 Monza is considered a rare and valuable model, highly sought after by collectors and car enthusiasts for its historical significance and performance capabilities. It remains a symbol of Ferrari’s commitment to innovation and excellence in the world of motorsport.",250_monza.jpg
120,1954 Ferrari 375 Plus,"$18,000,000 AUD","The 1954 375 Plus is a significant model in Ferrari’s history, known for its powerful engine and racing success. It is a cherished car among collectors for its performance and design.",5.8s,V12,Spider,1.05 tonnes,Aluminum,4.9L,330hp,"The 1954 375 Plus was one of Ferrari’s most powerful and successful racing cars of its time. It was powered by a 4.9L V12 engine, which provided immense power and performance on the track. The car’s lightweight aluminum body contributed to its agility and speed, making it a dominant force in various racing events. The 375 Plus achieved notable success in endurance races, including the prestigious 24 Hours of Le Mans. Its design was both functional and aesthetically appealing, characterized by sleek lines and an open-top spider body. Over the years, the 375 Plus has become a highly collectible model, valued for its historical significance and racing heritage. It remains a symbol of Ferrari’s engineering excellence and commitment to motorsport.",375_plus.jpg
121,1954 Ferrari 750 Monza,"$4,566,950 AUD","The 1954 750 Monza is celebrated for its performance and design, making it a standout model from Ferrari’s early racing days. It remains a treasured car among vintage collectors.",6.0s,Inline-4,Spider,0.95 tonnes,Aluminum,3.0L,260hp,"The 1954 750 Monza was designed for racing, featuring a powerful inline-4 engine that provided significant performance on the track. The car’s lightweight aluminum body contributed to its agility and handling, making it a formidable competitor in various racing events. The 750 Monza achieved considerable success in motorsport, helping to establish Ferrari’s reputation as a leading manufacturer of racing cars. Its design was both functional and aesthetically pleasing, with an open-top spider body that emphasized its racing pedigree. Over the years, the 750 Monza has become a symbol of Ferrari’s engineering prowess and racing heritage. It remains a highly sought-after model for collectors and enthusiasts who appreciate its historical significance and performance capabilities.",750_monza.jpg
122,1955 Ferrari 376 S,"$8,750,000 AUD","The 1955 376 S is a notable model in Ferrari’s history, known for its competitive edge in racing and its distinctive design. It remains a rare and valued car among collectors.",5.9s,Inline-6,Spider,1.0 tonnes,Aluminum,3.8L,280hp,"The 1955 376 S was one of Ferrari’s key models during the mid-1950s, built primarily for racing. It featured an inline-6 engine, which provided significant power and speed, making it a formidable competitor on the track. The car was designed with a lightweight aluminum body, contributing to its agility and performance. The 376 S achieved notable success in various racing events, helping to establish Ferrari’s reputation in motorsport. Its design combined functionality with aesthetic appeal, characterized by sleek lines and an open-top spider body. Over the years, the 376 S has become a symbol of Ferrari’s engineering prowess and racing heritage. It remains a highly sought-after model for collectors and enthusiasts who appreciate its historical significance and performance capabilities.",376_s.jpg
123,1955 Ferrari 735 LM,"$5,720,000 AUD","The 1955 735 LM is a celebrated model in Ferrari’s history, known for its robust performance and iconic design. It remains a cherished car among vintage collectors.",5.7s,Inline-6,Spider,1.02 tonnes,Aluminum,4.4L,300hp,"The 1955 735 LM was designed for endurance racing, featuring a powerful inline-6 engine that provided significant performance on the track. The car’s lightweight aluminum body contributed to its agility and handling, making it a formidable competitor in various racing events. The 735 LM achieved considerable success in motorsport, helping to establish Ferrari’s reputation as a leading manufacturer of racing cars. Its design was both functional and aesthetically appealing, with an open-top spider body that emphasized its racing pedigree. Over the years, the 735 LM has become a highly collectible model, valued for its historical significance and racing heritage. It remains a symbol of Ferrari’s engineering excellence and commitment to motorsport.",735_lm.jpg
124,1955 Ferrari 857 S,"$6,270,000 AUD","The 1955 857 S is renowned for its racing success and distinctive design. It is a prized model among collectors and car enthusiasts, representing Ferrari’s rich motorsport heritage.",5.5s,Inline-4,Spider,0.97 tonnes,Aluminum,3.4L,275hp,"The 1955 857 S was designed for racing, featuring a powerful inline-4 engine that provided significant performance on the track. The car’s lightweight aluminum body contributed to its agility and handling, making it a formidable competitor in various racing events. The 857 S achieved considerable success in motorsport, helping to solidify Ferrari’s reputation as a leading manufacturer of racing cars. Its design was both functional and aesthetically pleasing, with an open-top spider body that emphasized its racing pedigree. Today, the 857 S is considered a rare and valuable model, highly sought after by collectors and car enthusiasts for its historical significance and performance capabilities. It remains a symbol of Ferrari’s commitment to innovation and excellence in the world of motorsport.",857_s.jpg
125,1956 Ferrari 250 GT Berlinetta,"$8,630,850 AUD","The 1956 250 GT Berlinetta is a classic Ferrari model, known for its elegance and performance. It is a favorite among collectors and car enthusiasts for its historical significance.",6.0s,V12,Coupe,1.15 tonnes,Steel,3.0L,240hp,"The 1956 250 GT Berlinetta was a significant model in Ferrari’s lineup, representing the brand’s move towards more luxurious and road-oriented cars. It was powered by a 3.0L V12 engine, delivering impressive performance and a smooth driving experience. The 250 GT Berlinetta featured a steel body, which provided durability and a solid build. Its design was elegant and sophisticated, with a focus on both aesthetics and functionality. The car was well-received by both critics and customers, helping to establish Ferrari as a manufacturer of high-performance luxury cars. Over the years, the 250 GT Berlinetta has become a highly collectible model, valued for its design, performance, and historical importance. It remains a symbol of Ferrari’s commitment to excellence and innovation in automotive engineering.",250_gt_berlinetta.jpg
126,1956 Ferrari 290 MM,"$33,171,160 AUD","The 1956 290 MM is a significant model in Ferrari’s history, known for its powerful engine and racing success. It is a cherished car among collectors for its performance and design.",5.3s,V12,Spider,1.02 tonnes,Aluminum,3.5L,320hp,"The 1956 290 MM was one of Ferrari’s most powerful and successful racing cars of its time. It was powered by a 3.5L V12 engine, which provided immense power and performance on the track. The car’s lightweight aluminum body contributed to its agility and speed, making it a dominant force in various racing events. The 290 MM achieved notable success in endurance races, including the prestigious Mille Miglia. Its design was both functional and aesthetically appealing, characterized by sleek lines and an open-top spider body. Over the years, the 290 MM has become a highly collectible model, valued for its historical significance and racing heritage. It remains a symbol of Ferrari’s engineering excellence and commitment to motorsport.",290_mm.jpg
127,1956 Ferrari 410 S,"$33,200,000 AUD","The 1956 410 S is celebrated for its robust performance and iconic design, making it a standout model from Ferrari’s early racing days. It remains a treasured car among vintage collectors.",5.1s,V12,Spider,1.08 tonnes,Aluminum,4.9L,340hp,"The 1956 410 S was designed for racing, featuring a powerful 4.9L V12 engine that provided significant performance on the track. The car’s lightweight aluminum body contributed to its agility and handling, making it a formidable competitor in various racing events. The 410 S achieved considerable success in motorsport, helping to establish Ferrari’s reputation as a leading manufacturer of racing cars. Its design was both functional and aesthetically appealing, with an open-top spider body that emphasized its racing pedigree. Over the years, the 410 S has become a highly collectible model, valued for its historical significance and racing heritage. It remains a symbol of Ferrari’s engineering excellence and commitment to motorsport.",410_s.jpg
128,1956 Ferrari 410 Superamerica,"$4,218,956 AUD","The 1956 410 Superamerica is a notable model in Ferrari’s history, known for its luxury and performance. It remains a rare and valued car among collectors.",5.6s,V12,Coupe,1.22 tonnes,Steel,4.9L,340hp,"The 1956 410 Superamerica was one of Ferrari’s most luxurious and powerful road cars of its time. It was powered by a 4.9L V12 engine, delivering impressive performance and a smooth driving experience. The car’s design was both elegant and sophisticated, with a focus on luxury and comfort. The 410 Superamerica featured a steel body, which provided durability and a solid build. It was well-received by both critics and customers, helping to establish Ferrari as a manufacturer of high-performance luxury cars. Over the years, the 410 Superamerica has become a highly collectible model, valued for its design, performance, and historical importance. It remains a symbol of Ferrari’s commitment to excellence and innovation in automotive engineering.",410_superamerica.jpg
129,1956 Ferrari 500 TR,"$1,085,801 AUD","The 1956 500 TR is celebrated for its performance and design, making it a standout model from Ferrari’s early racing days. It remains a treasured car among vintage collectors.",5.4s,Inline-4,Spider,0.92 tonnes,Aluminum,2.0L,190hp,"The 1956 500 TR was designed for racing, featuring a powerful inline-4 engine that provided significant performance on the track. The car’s lightweight aluminum body contributed to its agility and handling, making it a formidable competitor in various racing events. The 500 TR achieved considerable success in motorsport, helping to establish Ferrari’s reputation as a leading manufacturer of racing cars. Its design was both functional and aesthetically pleasing, with an open-top spider body that emphasized its racing pedigree. Over the years, the 500 TR has become a symbol of Ferrari’s engineering prowess and racing heritage. It remains a highly sought-after model for collectors and enthusiasts who appreciate its historical significance and performance capabilities.",500_tr.jpg
130,1956 Ferrari 625 LM,Unknown,"The 1956 625 LM is a significant model in Ferrari’s history, known for its competitive edge in racing and its distinctive design. It remains a rare and valued car among collectors.",5.2s,Inline-4,Spider,0.96 tonnes,Aluminum,2.5L,225hp,"The 1956 625 LM was designed for endurance racing, featuring a powerful inline-4 engine that provided significant performance on the track. The car’s lightweight aluminum body contributed to its agility and handling, making it a formidable competitor in various racing events. The 625 LM achieved considerable success in motorsport, helping to establish Ferrari’s reputation as a leading manufacturer of racing cars. Its design was both functional and aesthetically pleasing, with an open-top spider body that emphasized its racing pedigree. Over the years, the 625 LM has become a highly collectible model, valued for its historical significance and racing heritage. It remains a symbol of Ferrari’s engineering excellence and commitment to motorsport.",625_lm.jpg
131,1956 Ferrari 860 Monza,"$3,104,784 AUD","The 1956 860 Monza is renowned for its racing success and distinctive design. It is a prized model among collectors and car enthusiasts, representing Ferrari’s rich motorsport heritage.",5.0s,Inline-4,Spider,0.98 tonnes,Aluminum,3.4L,280hp,"The 1956 860 Monza was designed for racing, featuring a powerful inline-4 engine that provided significant performance on the track. The car’s lightweight aluminum body contributed to its agility and handling, making it a formidable competitor in various racing events. The 860 Monza achieved considerable success in motorsport, helping to solidify Ferrari’s reputation as a leading manufacturer of racing cars. Its design was both functional and aesthetically pleasing, with an open-top spider body that emphasized its racing pedigree. Today, the 860 Monza is considered a rare and valuable model, highly sought after by collectors and car enthusiasts for its historical significance and performance capabilities. It remains a symbol of Ferrari’s commitment to innovation and excellence in the world of motorsport.",860_monza.jpg
132,1957 Ferrari 250 California,"$30,000,000 AUD","The 1957 250 California is a classic Ferrari model, known for its elegance and performance. It is a favorite among collectors and car enthusiasts for its historical significance.",5.8s,V12,Spider,1.08 tonnes,Steel,3.0L,240hp,"The 1957 250 California was a significant model in Ferrari’s lineup, representing the brand’s move towards more luxurious and road-oriented cars. It was powered by a 3.0L V12 engine, delivering impressive performance and a smooth driving experience. The 250 California featured a steel body, which provided durability and a solid build. Its design was elegant and sophisticated, with a focus on both aesthetics and functionality. The car was well-received by both critics and customers, helping to establish Ferrari as a manufacturer of high-performance luxury cars. Over the years, the 250 California has become a highly collectible model, valued for its design, performance, and historical importance. It remains a symbol of Ferrari’s commitment to excellence and innovation in automotive engineering.",250_california.jpg
133,1957 Ferrari 250 GT Cabriolet,"$15,000,000 AUD","The 1957 250 GT Cabriolet is a notable model in Ferrari’s history, known for its luxury and performance. It remains a rare and valued car among collectors.",6.2s,V12,Cabriolet,1.1 tonnes,Steel,3.0L,240hp,"The 1957 250 GT Cabriolet was one of Ferrari’s most luxurious and powerful road cars of its time. It was powered by a 3.0L V12 engine, delivering impressive performance and a smooth driving experience. The car’s design was both elegant and sophisticated, with a focus on luxury and comfort. The 250 GT Cabriolet featured a steel body, which provided durability and a solid build. It was well-received by both critics and customers, helping to establish Ferrari as a manufacturer of high-performance luxury cars. Over the years, the 250 GT Cabriolet has become a highly collectible model, valued for its design, performance, and historical importance. It remains a symbol of Ferrari’s commitment to excellence and innovation in automotive engineering.",250_gt_cabriolet.jpg
134,1957 Ferrari 250 Testa Rossa,"$18,000,000 AUD","The 1957 250 Testa Rossa is celebrated for its performance and design, making it a standout model from Ferrari’s early racing days. It remains a treasured car among vintage collectors.",5.5s,V12,Spider,1.0 tonnes,Aluminum,3.0L,300hp,"The 1957 250 Testa Rossa was designed for racing, featuring a powerful 3.0L V12 engine that provided significant performance on the track. The car’s lightweight aluminum body contributed to its agility and handling, making it a formidable competitor in various racing events. The 250 Testa Rossa achieved considerable success in motorsport, helping to establish Ferrari’s reputation as a leading manufacturer of racing cars. Its design was both functional and aesthetically pleasing, with an open-top spider body that emphasized its racing pedigree. Over the years, the 250 Testa Rossa has become a symbol of Ferrari’s engineering prowess and racing heritage. It remains a highly sought-after model for collectors and enthusiasts who appreciate its historical significance and performance capabilities.",250_testa_rossa.jpg
135,1957 Ferrari 290 S,"$33,231,880 AUD","The 1957 290 S is a significant model in Ferrari’s history, known for its powerful engine and racing success. It is a cherished car among collectors for its performance and design.",5.1s,V12,Spider,0.98 tonnes,Aluminum,3.5L,320hp,"The 1957 290 S was one of Ferrari’s most powerful and successful racing cars of its time. It was powered by a 3.5L V12 engine, which provided immense power and performance on the track. The car’s lightweight aluminum body contributed to its agility and speed, making it a dominant force in various racing events. The 290 S achieved notable success in endurance races, including the prestigious Mille Miglia. Its design was both functional and aesthetically appealing, characterized by sleek lines and an open-top spider body. Over the years, the 290 S has become a highly collectible model, valued for its historical significance and racing heritage. It remains a symbol of Ferrari’s engineering excellence and commitment to motorsport.",290_s.jpg
136,1957 Ferrari 315 S,"$53,424,693 AUD","The 1957 315 S is renowned for its racing success and distinctive design. It is a prized model among collectors and car enthusiasts, representing Ferrari’s rich motorsport heritage.",4.9s,V12,Spider,1.0 tonnes,Aluminum,3.8L,360hp,"The 1957 315 S was designed for racing, featuring a powerful 3.8L V12 engine that provided significant performance on the track. The car’s lightweight aluminum body contributed to its agility and handling, making it a formidable competitor in various racing events. The 315 S achieved considerable success in motorsport, helping to solidify Ferrari’s reputation as a leading manufacturer of racing cars. Its design was both functional and aesthetically pleasing, with an open-top spider body that emphasized its racing pedigree. Today, the 315 S is considered a rare and valuable model, highly sought after by collectors and car enthusiasts for its historical significance and performance capabilities. It remains a symbol of Ferrari’s commitment to innovation and excellence in the world of motorsport.",315_s.jpg
137,1957 Ferrari 315 S,"$53,302,689 AUD","The Ferrari 315 S was designed for endurance racing, featuring a powerful V12 engine. It was built to compete in events like the Mille Miglia.",6.8s,V12,Roadster,1.0 tonnes,Aluminum,3.8L,360hp,"The Ferrari 315 S, introduced in 1957, played a crucial role in Ferrari’s racing success during the late 1950s.",315_s.jpg
138,1957 Ferrari 335 S,"$53,302,876 AUD",The Ferrari 335 S is an iconic race car with a robust V12 engine. It achieved victories in several endurance races.,6.5s,V12,Roadster,0.98 tonnes,Aluminum,4.0L,390hp,The 335 S was an evolution of the 315 S and helped Ferrari secure its place at the top of the racing world in 1957.,335_s.jpg
139,1957 Ferrari 500 TRC,"$6,545,351 AUD","The Ferrari 500 TRC was an evolution of the 500 TR, built to meet the latest racing regulations with a 2.0L four-cylinder engine.",7.2s,Inline-4,Roadster,0.85 tonnes,Steel and Aluminum,2.0L,190hp,"The 500 TRC, with its improved aerodynamics and handling, was Ferrari’s last four-cylinder racing car.",500_trc.jpg
140,1958 Ferrari 312 S,Unknown AUD,"The Ferrari 312 S was built for high-speed endurance racing, featuring a V12 engine designed to deliver maximum performance.",6.7s,V12,Roadster,0.95 tonnes,Aluminum,3.0L,320hp,The 312 S was part of Ferrari’s lineup aimed at dominating the racing circuits in the late 1950s.,312_s.jpg
141,1958 Ferrari 412 S,"$8,452,701 AUD","The Ferrari 412 S was a one-off racing prototype designed to compete in American races, powered by a massive V12 engine.",6.2s,V12,Roadster,1.1 tonnes,Aluminum,4.0L,450hp,"The 412 S was known for its sheer power and performance, making it one of the most formidable race cars of its time.",412_s.jpg
142,1958 Ferrari Dino 196 S,Unknown AUD,"The Ferrari Dino 196 S was a lightweight sports prototype designed for agility and speed, featuring a V6 engine.",7.1s,V6,Roadster,0.78 tonnes,Aluminum,2.0L,195hp,"The Dino 196 S was part of Ferrari’s efforts to create a smaller, more nimble racing car that could still compete at the highest levels.",dino_196_s.jpg
143,1958 Ferrari Dino 296 S,Unknown AUD,"The Ferrari Dino 296 S was an evolution of the Dino series, featuring a more powerful V6 engine and improved aerodynamics.",6.9s,V6,Roadster,0.82 tonnes,Aluminum,2.9L,240hp,The Dino 296 S represented Ferrari’s continued innovation in creating competitive mid-engine race cars.,dino_296_s.jpg
144,1959 Ferrari 250 GT Berlinetta Passo Corto,Unknown,"The Ferrari 250 GT Berlinetta Passo Corto, also known as the SWB (Short Wheelbase), was one of Ferrari’s most successful GT racers.",6.2s,V12,Coupe,1.0 tonnes,Steel and Aluminum,3.0L,280hp,"The 250 GT SWB was known for its perfect blend of performance, handling, and style, making it a favorite among Ferrari enthusiasts.",250_gt_berlinetta.jpg
145,1960 Ferrari 250 GT 2+2,"$3,153,764 AUD","The Ferrari 250 GT 2+2, also known as the GTE, was Ferrari’s first production four-seater, combining luxury with performance.",7.5s,V12,Coupe,1.2 tonnes,Steel,3.0L,240hp,The 250 GT 2+2 was Ferrari’s move towards more practical yet still powerful grand touring cars.,250_gt_2plus2.jpg
146,1960 Ferrari 400 Superamerica,"$15,000,000 AUD","The Ferrari 400 Superamerica was an exclusive, luxurious grand tourer with a powerful V12 engine, built for the wealthiest clients.",6.8s,V12,Coupe,1.4 tonnes,Steel,4.0L,340hp,The 400 Superamerica represented the pinnacle of Ferrari luxury in the early 1960s.,400_superamerica.jpg
147,1960 Ferrari Dino 246 S,"$1,998,384 AUD","The Ferrari Dino 246 S was a sports prototype racer with a V6 engine, continuing the Dino line’s success in racing.",7.0s,V6,Roadster,0.84 tonnes,Aluminum,2.4L,250hp,"The 246 S was known for its agility and speed, making it a competitive car in sports car racing.",dino_246_s.jpg
148,1961 Ferrari 246 SP,"$13,580,604 AUD","The Ferrari 246 SP was the first mid-engine car built by Ferrari, marking a significant shift in Ferrari’s design philosophy.",6.5s,V6,Roadster,0.82 tonnes,Aluminum,2.4L,270hp,The 246 SP’s success in races like the Targa Florio solidified Ferrari’s decision to pursue mid-engine designs.,246_sp.jpg
149,1962 Ferrari 196 SP,"$13,580,600 AUD","The Ferrari 196 SP was a lightweight, nimble sports prototype, designed to excel in endurance races.",7.0s,V6,Roadster,0.80 tonnes,Aluminum,2.0L,210hp,"The 196 SP was part of Ferrari’s effort to build smaller, more efficient race cars that could still dominate on the track.",196_sp.jpg
150,1962 Ferrari 248 SP,"$11,624,572 AUD","The Ferrari 248 SP was an evolution of the 196 SP, with a slightly larger engine and improved performance.",6.8s,V6,Roadster,0.82 tonnes,Aluminum,2.5L,230hp,"The 248 SP continued Ferrari’s success in mid-engine sports prototypes, offering greater speed and handling.",248_sp.jpg
151,1962 Ferrari 250 Berlinetta Lusso,"$4,231,917 AUD","The Ferrari 250 Berlinetta Lusso was a luxurious version of the 250 series, blending performance with comfort.",7.2s,V12,Coupe,1.2 tonnes,Steel and Aluminum,3.0L,240hp,The Berlinetta Lusso was favored by wealthy drivers who desired both speed and refinement.,250_berlinetta_lusso.jpg
152,1962 Ferrari 250 GTO,"$78,007,592 AUD","The Ferrari 250 GTO is one of the most iconic and sought-after cars in automotive history, built for racing and homologation purposes.",6.1s,V12,Coupe,1.0 tonnes,Aluminum,3.0L,300hp,The 250 GTO is legendary for its racing success and is one of the most valuable cars ever built.,250_gto.jpg
153,1962 Ferrari 268 SP,"$11,624,572 AUD","The Ferrari 268 SP was a mid-engine sports prototype with a unique V8 engine, built for endurance racing.",6.7s,V8,Roadster,0.88 tonnes,Aluminum,2.6L,250hp,The 268 SP represented Ferrari’s experimentation with different engine configurations for racing.,268_sp.jpg
154,1962 Ferrari 286 SP,Unknown,"The Ferrari 286 SP was a further evolution of the SP series, featuring a more powerful V8 engine for improved performance.",6.5s,V8,Roadster,0.90 tonnes,Aluminum,2.9L,270hp,"The 286 SP was designed to compete in the most demanding endurance races, showcasing Ferrari’s engineering prowess.",286_sp.jpg
155,1962 Ferrari 330 LM,"$78,024,396 AUD","The Ferrari 330 LM, also known as the 330 LMB, was a race car built for long-distance events, featuring a powerful V12 engine.",6.3s,V12,Coupe,1.1 tonnes,Aluminum,4.0L,390hp,The 330 LM was part of Ferrari’s strategy to dominate endurance racing in the early 1960s.,330_lm.jpg
156,1962 Ferrari 330 TR,"$8,903,277 AUD","The Ferrari 330 TR was a one-off race car built to compete in the 1962 24 Hours of Le Mans, featuring a 4.0L V12 engine.",6.1s,V12,Roadster,1.05 tonnes,Aluminum,4.0L,390hp,"The 330 TR was the last front-engine car to win Le Mans, marking the end of an era for Ferrari.",330_tr.jpg
157,1963 Ferrari 250 LM,"$24,140,000 AUD","The Ferrari 250 LM was a mid-engine sports car designed for endurance racing, continuing the legacy of the 250 series.",6.2s,V12,Coupe,1.0 tonnes,Aluminum,3.3L,320hp,The 250 LM was the first mid-engine Ferrari to win the 24 Hours of Le Mans.,250_lm.jpg
158,1963 Ferrari 250 P,"$15,060,000 AUD","The Ferrari 250 P was a sports prototype designed for endurance racing, featuring a mid-engine layout and a powerful V12 engine.",6.3s,V12,Roadster,0.98 tonnes,Aluminum,3.0L,310hp,"The 250 P was a successful race car, winning several prestigious events including the 24 Hours of Le Mans.",250_p.jpg
159,1963 Ferrari 330 P,"$3,017,520 AUD","The Ferrari 330 P was a series of sports prototype racing cars, featuring a mid-engine design and a V12 engine.",6.4s,V12,Roadster,1.0 tonnes,Aluminum,4.0L,410hp,The 330 P was designed to compete in endurance races and was part of Ferrari’s legendary P series.,330_p.jpg
160,1964 Ferrari 275 GTB,"$5,280,660 AUD","The Ferrari 275 GTB was a front-engine GT car known for its performance and beautiful design, featuring a V12 engine.",6.5s,V12,Coupe,1.2 tonnes,Steel,3.3L,280hp,The 275 GTB was one of Ferrari’s most celebrated road cars of the 1960s.,275_gtb.jpg
161,1964 Ferrari 275 GTS,"$2,359,707 AUD","The Ferrari 275 GTS was the convertible version of the 275 GTB, offering open-top driving with Ferrari’s iconic V12 engine.",6.7s,V12,Convertible,1.2 tonnes,Steel,3.3L,260hp,The 275 GTS combined Ferrari performance with the pleasure of open-air motoring.,275_gts.jpg
162,1964 Ferrari 275 P,"$67,890,436 AUD","The Ferrari 275 P was a sports prototype racer, designed for endurance racing with a mid-engine V12.",6.3s,V12,Roadster,0.98 tonnes,Aluminum,3.3L,320hp,"The 275 P continued Ferrari’s success in endurance racing, securing wins in multiple major events.",275_p.jpg
163,1964 Ferrari 330 GT 2+2,Unknown,"The Ferrari 330 GT 2+2 was a luxurious grand tourer with seating for four, powered by a V12 engine.",7.4s,V12,Coupe,1.4 tonnes,Steel,4.0L,300hp,The 330 GT 2+2 was Ferrari’s response to the demand for a more practical yet powerful grand tourer.,330_gt_2plus2.jpg
164,1964 Ferrari 500 Superfast,"$2,813,754 AUD","The Ferrari 500 Superfast was the pinnacle of Ferrari’s luxury offerings in the mid-1960s, featuring a 5.0L V12 engine.",6.0s,V12,Coupe,1.5 tonnes,Steel,5.0L,400hp,"The 500 Superfast was designed for Ferrari’s wealthiest clients, offering unparalleled luxury and performance.",500_superfast.jpg
165,1965 Ferrari 275 GTB Competizione,"$11,625,627 AUD","The Ferrari 275 GTB Competizione was a race-ready version of the 275 GTB, featuring a lightweight body and a more powerful V12 engine.",6.0s,V12,Coupe,1.1 tonnes,Aluminum,3.3L,300hp,The 275 GTB Competizione was built for endurance racing and was successful in events like the 24 Hours of Le Mans.,275_gtb_competizione.jpg
166,1965 Ferrari 275 P2,Unknown,"The Ferrari 275 P2 was a sports prototype designed for endurance racing, featuring a mid-engine V12 and advanced aerodynamics.",6.2s,V12,Roadster,0.95 tonnes,Aluminum,3.3L,320hp,The 275 P2 was part of Ferrari’s continued dominance in sports car racing during the mid-1960s.,275_p2.jpg
167,1965 Ferrari 330 P2,Unknown,"The Ferrari 330 P2 was an evolution of the P series, featuring a larger V12 engine and improved performance for endurance racing.",6.1s,V12,Roadster,1.0 tonnes,Aluminum,4.0L,410hp,"The 330 P2 was a formidable competitor in endurance racing, continuing Ferrari’s legacy of success.",330_p2.jpg
168,1965 Ferrari 365 P,Unknown,The Ferrari 365 P was a prototype sports car featuring a unique 3-seat configuration with a mid-engine V12.,6.0s,V12,Coupe,1.2 tonnes,Aluminum,4.4L,380hp,"The 365 P was a revolutionary design by Ferrari, combining innovation with performance.",365_p.jpg
169,1965 Ferrari Dino 166 P,Unknown,"The Ferrari Dino 166 P was a lightweight sports prototype, featuring a V6 engine and designed for agility on the track.",6.9s,V6,Roadster,0.78 tonnes,Aluminum,1.6L,185hp,"The 166 P was part of the Dino line, known for its excellent handling and performance.",dino_166_p.jpg
170,1970 Ferrari 512 S,"$4,376,171 AUD","The Ferrari 512 S was a sports prototype racer built for endurance racing, featuring a powerful V12 engine and lightweight design.",5.9s,V12,Roadster,1.0 tonnes,Aluminum,5.0L,550hp,"The 512 S competed in the World Sportscar Championship, known for its performance in endurance events.",512_s.jpg
171,1971 Ferrari 312 P,"$8,643,815 AUD","The Ferrari 312 P was an endurance racing car with a 3.0L V12 engine, designed to compete in the World Sportscar Championship.",6.1s,V12,Roadster,0.95 tonnes,Aluminum,3.0L,420hp,"The 312 P was part of Ferrari’s return to endurance racing, known for its speed and handling.",312_p_1971.jpg
172,1971 Ferrari 365 GT4 BB,"$754,520 AUD","The Ferrari 365 GT4 BB was the first mid-engine road car by Ferrari, featuring a flat-12 engine and aggressive styling.",6.5s,Flat-12,Coupe,1.2 tonnes,Steel,4.4L,380hp,"The 365 GT4 BB was a radical departure for Ferrari, marking the start of the Berlinetta Boxer series.",365_gt4_bb.jpg
173,1971 Ferrari 365 GTB4 Competizione,"$3,392,615 AUD","The Ferrari 365 GTB4 Competizione was a race-prepped version of the Daytona, designed for endurance racing.",5.9s,V12,Coupe,1.1 tonnes,Aluminum,4.4L,450hp,"The Competizione variant of the Daytona was highly successful in racing, including at Le Mans.",365_gtb4_competizione.jpg
174,1971 Ferrari 365 GTC4,"$455,364 AUD","The Ferrari 365 GTC4 was a luxurious grand tourer with a front-engine V12, offering comfort and performance.",6.8s,V12,Coupe,1.4 tonnes,Steel,4.4L,340hp,"The 365 GTC4 was designed for long-distance touring, known for its smooth ride and powerful engine.",365_gtc4.jpg
175,1971 Ferrari 712 Can Am,"$2,563,309 AUD","The Ferrari 712 Can Am was a racing prototype designed for the Can-Am series, featuring a massive V12 engine.",5.8s,V12,Roadster,1.0 tonnes,Aluminum,7.0L,680hp,"The 712 Can Am was one of Ferrari’s most powerful race cars, built for the highly competitive Can-Am series.",712_can_am.jpg
176,1972 Ferrari 365 GT4 2+2,"$105,000 AUD","The Ferrari 365 GT4 2+2 was a luxurious grand tourer with seating for four, powered by a front-engine V12.",7.0s,V12,Coupe,1.5 tonnes,Steel,4.4L,340hp,"The 365 GT4 2+2 was known for its combination of comfort and performance, making it a popular choice for long-distance driving.",365_gt4_2plus2.jpg
177,1972 Ferrari Dino 246 GTS,"$1,052,718 AUD","The Ferrari Dino 246 GTS was the targa top version of the Dino 246 GT, offering open-air driving with a V6 engine.",7.2s,V6,Targa,1.1 tonnes,Aluminum,2.4L,195hp,"The Dino 246 GTS is beloved for its balance of performance and design, making it one of Ferrari’s most iconic models.",dino_246_gts.jpg
178,1973 Ferrari Dino 308 GT4,"$679,461 AUD","The Ferrari Dino 308 GT4 was a 2+2 mid-engine sports car, featuring a V8 engine and angular styling by Bertone.",7.5s,V8,Coupe,1.3 tonnes,Steel,3.0L,255hp,"The 308 GT4 was the first Ferrari-badged car to feature a V8 engine, marking a new direction for the brand.",dino_308_gt4.jpg
179,1975 Ferrari 308 GTB,"$123,000 AUD","The Ferrari 308 GTB was a mid-engine sports car with a V8 engine, known for its beautiful design and performance.",6.8s,V8,Coupe,1.2 tonnes,Steel,3.0L,255hp,"The 308 GTB became one of Ferrari’s most successful models, beloved for its style and handling.",308_gtb.jpg
